65.2,10.000
64.6,0.039
64.1,0.036
63.4,0.033
63.3,0.029
62.5,0.027
62.4,0.025
62.5,0.022
61.9,0.021
61.7,0.019
61.8,0.017
61.6,0.016
61.5,0.014
61.1,0.013
60.9,0.012
60.7,0.011
60.6,0.010
60.8,0.009
60.6,0.008
60.7,0.008
60.7,0.008
60.4,0.007
60.5,0.007
60.5,0.006
60.4,0.006
60.5,0.006
60.0,0.005
60.5,0.005
60.3,0.005
60.3,0.004
60.2,0.004
60.4,0.004
60.3,0.003
60.1,0.003
60.3,0.003
60.1,0.003
59.9,0.003
60.1,0.003
60.1,0.002
59.8,0.002
59.9,0.002
60.2,0.002
60.1,0.002
60.2,0.002
59.8,0.002
59.7,0.003
60.2,0.002
60.1,0.002
59.9,0.002
59.9,0.002
60.1,0.002
60.3,0.002
60.2,0.002
60.1,0.003
59.8,0.004
60.2,0.004
60.0,0.004
60.2,0.004
59.7,0.003
60.0,0.003
60.0,0.003
60.2,0.003
57.6,0.003
60.0,0.003
60.1,0.003
60.2,0.003
59.9,0.003
60.0,0.003
57.7,0.004
60.5,0.004
60.2,0.003
60.4,0.003
60.3,0.003
60.0,0.003
60.5,0.003
60.2,0.003
60.3,0.003
60.0,0.003
60.3,0.003
60.2,0.002
60.3,0.002
60.1,0.002
60.3,0.002
60.2,0.003
59.9,0.003
60.1,0.003
59.8,0.003
60.3,0.003
59.8,0.003
60.3,0.002
60.0,0.002
60.0,0.002
60.0,0.002
59.9,0.002
60.2,0.002
60.0,0.002
60.0,0.002
60.0,0.002
60.0,0.002
59.9,0.002
60.0,0.002
60.3,0.002
60.2,0.002
59.7,0.002
60.0,0.002
60.0,0.002
60.2,0.002
60.0,0.002
60.0,0.002
60.2,0.002
60.0,0.002
60.1,0.002
60.1,0.001
60.2,0.002
59.8,0.002
59.9,0.002
60.0,0.002
59.9,0.002
59.7,0.002
60.2,0.002
59.9,0.002
59.9,0.002
60.2,0.002
60.0,0.002
59.8,0.002
59.8,0.002
60.1,0.002
60.1,0.002
60.0,0.002
60.1,0.002
59.8,0.002
59.9,0.002
60.2,0.002
59.9,0.002
59.8,0.002
60.1,0.002
59.8,0.002
60.0,0.002
60.1,0.002
60.2,0.002
60.2,0.002
60.1,0.002
59.9,0.002
59.9,0.002
59.7,0.002
60.1,0.002
60.2,0.002
60.2,0.002
60.2,0.002
59.9,0.002
60.2,0.002
59.9,0.002
59.7,0.002
59.8,0.002
60.0,0.002
60.2,0.002
60.0,0.002
60.1,0.001
60.2,0.002
59.9,0.002
60.2,0.002
60.1,0.002
59.9,0.002
59.8,0.002
59.8,0.002
59.8,0.002
59.9,0.002
59.7,0.002
60.1,0.002
59.8,0.002
60.3,0.002
59.8,0.002
60.1,0.002
60.2,0.002
59.9,0.002
60.1,0.003
60.2,0.003
59.9,0.003
60.2,0.003
59.7,0.002
60.0,0.002
60.1,0.002
60.1,0.002
60.0,0.002
