59.0|0.005|4022.796
57.1|0.007|4022.831
60.1|0.006|4023.304
60.0|0.006|4023.873
60.4|0.006|4024.033
60.0|0.004|4024.068
59.9|0.005|4024.104
60.0|0.003|4024.673
60.1|0.002|4027.517
51.6|0.008|4061.559
20.7|0.047|4194.546
54.9|0.034|4419.216
50.6|0.013|4254.861
59.7|0.008|4262.457
38.1|0.015|4278.124
59.0|0.009|4292.789
42.6|0.012|4302.518
29.7|0.021|4324.727
30.0|0.020|4336.624
56.2|0.013|4312.071
55.6|0.056|4727.789
59.8|0.042|4755.036
33.0|0.036|4825.705
34.0|0.015|4814.746
39.2|0.005|4814.781
40.0|0.004|4815.815
40.1|0.004|4815.851
40.0|0.005|4816.726
39.9|0.004|4832.162
40.0|0.006|4844.243
40.1|0.004|4844.278
40.1|0.004|4844.661
40.1|0.004|4844.696
40.0|0.004|4851.899
40.0|0.004|4851.935
26.0|0.020|4830.504
35.0|0.010|4862.809
39.3|0.005|4865.709
40.2|0.011|4843.806
36.1|0.009|4843.999
39.6|0.025|4876.550
33.5|0.011|4883.448
39.1|0.005|4883.483
39.9|0.004|4883.906
40.1|0.004|4891.073
40.1|0.004|4885.210
40.0|0.004|4885.245
40.1|0.005|4871.408
40.0|0.004|4871.939
40.1|0.005|4873.557
39.9|0.013|4873.592
37.7|0.026|4857.081
33.1|0.012|4878.313
39.1|0.005|4878.736
40.0|0.004|4879.675
40.1|0.005|4882.738
38.9|0.019|4873.475
35.9|0.009|4868.617
39.6|0.005|4868.811
40.0|0.014|4869.075
38.6|0.006|4871.852
34.6|0.011|4832.027
39.3|0.005|4832.221
37.9|0.007|4832.485
39.7|0.005|4835.614
40.0|0.004|4835.860
40.0|0.004|4836.032
39.9|0.004|4836.278
40.0|0.004|4843.497
40.1|0.004|4843.743
40.0|0.004|4843.915
40.1|0.004|4844.161
39.9|0.004|4845.753
40.0|0.004|4846.607
39.9|0.004|4846.885
40.1|0.004|4847.646
40.1|0.004|4848.741
40.0|0.004|4849.006
40.1|0.005|4849.199
40.1|0.004|4855.816
39.9|0.004|4856.838
39.9|0.019|4890.503
34.1|0.010|4892.810
39.2|0.005|4895.818
40.0|0.004|4895.990
30.2|0.008|4912.725
37.5|0.006|4840.682
38.4|0.006|4888.416
34.4|0.013|4908.264
35.8|0.008|4892.788
26.0|0.032|4902.413
36.6|0.008|4851.760
39.6|0.004|4852.183
40.1|0.005|4865.474
33.6|0.011|4881.262
39.0|0.005|4883.728
33.0|0.012|4884.328
34.1|0.010|4884.363
38.9|0.005|4884.765
39.9|0.004|4887.365
34.8|0.019|4919.143
35.0|0.009|4861.042
33.4|0.013|4873.303
36.4|0.010|4885.399
39.6|0.007|4909.752
30.3|0.025|4871.442
37.3|0.009|4914.013
37.9|0.007|4914.583
39.8|0.005|4914.776
40.0|0.004|4915.022
40.1|0.004|4917.286
40.0|0.004|4917.458
40.1|0.004|4918.471
39.9|0.004|4918.643
40.0|0.004|4927.636
27.2|0.018|4951.701
38.3|0.007|4945.835
39.8|0.005|4947.418
33.4|0.013|4942.807
39.2|0.007|4943.000
36.9|0.009|4938.149
39.7|0.005|4938.321
39.9|0.004|4941.223
40.1|0.005|4941.395
40.0|0.004|4941.641
40.0|0.004|4941.813
40.1|0.003|4950.703
40.0|0.004|4950.875
40.1|0.004|4951.121
40.1|0.004|4952.000
40.1|0.003|4945.904
39.9|0.004|4946.896
39.9|0.004|4892.609
37.8|0.006|4889.907
34.9|0.010|4890.103
39.6|0.009|4897.707
37.0|0.008|4897.742
36.9|0.008|4959.987
39.6|0.004|4960.022
39.8|0.004|4960.405
40.0|0.004|4960.440
40.1|0.004|4949.577
40.1|0.003|4949.612
40.0|0.004|4946.645
39.9|0.004|4946.680
40.1|0.004|4943.019
40.1|0.004|4943.265
38.2|0.006|4943.437
34.7|0.018|4894.563
38.5|0.006|4940.729
39.9|0.004|4940.993
39.9|0.004|4941.932
40.1|0.004|4942.826
40.1|0.008|4967.323
37.3|0.007|4962.742
39.8|0.006|4962.936
31.8|0.015|4936.407
38.7|0.005|4938.738
39.9|0.003|4939.003
40.1|0.005|4952.840
36.4|0.008|4973.580
39.6|0.004|4925.227
39.9|0.004|4925.491
40.1|0.013|4962.522
36.5|0.007|4960.304
39.7|0.004|4906.796
40.0|0.004|4906.831
40.0|0.005|4936.954
33.8|0.011|4939.827
39.3|0.005|4940.021
40.0|0.005|4941.360
39.0|0.006|4924.182
39.8|0.006|4924.467
33.5|0.011|4924.660
39.1|0.005|4924.695
27.4|0.019|4964.068
38.2|0.006|4909.662
36.7|0.016|4940.610
38.7|0.005|4940.964
40.3|0.019|4919.597
38.7|0.006|4965.835
37.7|0.008|4973.007
39.7|0.004|4973.200
38.4|0.005|4973.446
39.9|0.004|4980.830
34.1|0.019|4942.989
33.0|0.012|4941.971
39.0|0.004|4942.217
39.9|0.003|4944.270
40.0|0.004|4964.030
40.0|0.003|4964.969
40.0|0.005|4972.313
32.7|0.011|4944.499
33.7|0.012|4965.053
39.2|0.004|4965.246
38.0|0.005|4966.752
39.7|0.019|4953.362
38.7|0.005|4903.331
39.8|0.012|4967.439
34.5|0.009|4961.080
39.3|0.005|4942.070
38.1|0.005|4942.105
32.6|0.012|4908.203
36.5|0.007|4947.721
34.3|0.011|4930.180
39.2|0.004|4930.215
37.7|0.009|4924.762
39.7|0.004|4931.910
36.8|0.007|4961.122
29.3|0.027|4958.629
37.1|0.007|4943.643
39.7|0.004|4946.582
38.8|0.005|4930.305
37.0|0.007|4930.498
33.5|0.011|4980.134
